"","cap_hit","GP","plusminus","Eplusminus","PIM","OTG","GWG","NPD","xGF","xGA","Grit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP.","ev_SH.","ev_PDO","ev_F.60","ev_A.60","ev_Pct.","ev_RelPct.","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO.","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI.GP","pp_F.60","pp_A.60","pp_Pct.","pp_RelPct.","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOIGP","pk_F.60","pk_A.60","pk_Pct.","pk_RelPct.","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI","stars","position"
"198",6250000,82,4,5.9,28,0,6,-0.1,82.5,52,142,20,10,5,30,61.9,8.6,1019,59,56.4,51.1,1.8,16.6,64,237,203,144,12,16,28,113.1,78,87,38,40,30,96,52.9,1095,1048,801,744,164,148,7,9,2,16,14866,2.86,111.2,14,88.8,2.5,0,0,0,484,0.14,11.6,52.1,18.2,8.4,0,1,246,45,55,100,3558.2,9.5,29,43,72,861.2,14,3,356.7,8,"F"
"199",2750000,75,3,3.5,66,0,2,-4,39.4,39.2,228,10,9,6,19,63.3,7.5,1006,54.9,49.1,52.8,3.9,9.9,30,188,154,110,7,13,20,145,102,69,12,18,28,216,52.1,728,651,567,496,75,76,3,3,1,6,5293,1.18,88.9,9.9,90,1.3,0,0,0,4841,1.05,5.4,117.9,4.4,-6.5,4,12,240,26,24,50,2485.4,-6.2,3,2,5,81.2,59,13,500.9,5,"F"
"200",1150000,67,-5,-3.5,34,0,1,-8.4,37.3,44.9,112,8,6,5,14,62.2,6,993,52.1,55.4,48.4,-0.3,6.3,19,121,94,64,5,5,10,151.2,37,52,41,33,28,7,26.9,681,727,504,514,90,112,0,0,0,0,3456,0.91,91.8,6.8,93.1,4.5,0,0,0,5443,1.36,13.7,97.2,12.4,1.4,6,9,193,30,50,80,2409.6,14.6,16,8,24,393.4,8,6,78.1,1,"F"
"201",1e+06,78,14,6.6,63,0,1,-10.6,46.8,35.2,200,11,23,13,34,81,9.8,1025,56.7,51.2,52.5,4.2,8.8,36,152,118,92,9,3,12,241.1,91,45,24,15,38,2,40,777,705,568,523,131,101,2,1,1,3,6589,1.44,65.8,8.5,88.6,0.9,0,0,0,26,0.05,0,8.3,0,-13.4,0,0,234,44,69,113,3171.7,15.1,27,21,48,651.7,2,2,11.6,4,"F"
"202",1e+06,61,-9,-5.9,21,1,3,3.9,46.2,41.7,80,9,12,8,21,67.7,8.2,1014,48.6,51,48.8,3.7,8,25,153,121,98,2,9,11,179,43,47,24,20,10,16,61.9,687,728,506,564,98,106,1,9,6,10,9215,2.47,78.2,13.1,85.7,-1,0,0,0,204,0.1,0,62.4,0,-9.1,0,0,131,36,24,60,2041.7,-6.4,15,10,25,332.2,4,0,108.8,8,"F"
"203",1e+06,61,-2,-2.7,35,0,1,-3.1,16.6,29,209,3,4,1,7,41.2,7.8,991,43.8,50,46.7,-2.4,4.6,13,81,67,45,0,8,8,24.9,126,62,9,14,31,3,37.5,429,491,310,334,45,64,0,0,0,0,172,0.11,0,0,0,-86.1,0,0,0,5840,1.59,9.9,95.9,9.4,-4.5,3,9,200,22,29,51,2204.1,-43.3,0,1,1,21.6,69,7,375.6,0,"F"
"204",650000,13,0,-1.5,48,0,0,-6,1.4,2.3,73,0,2,1,2,66.7,16.7,1076,31.9,50.9,38.5,-10.9,0.2,1,6,3,3,0,0,0,12.7,19,8,2,0,2,0,0,38,61,27,45,4,8,0,0,0,0,25,0.05,0,0,0,-87.9,0,0,0,0,0.01,0,0,0,-8,0,0,84,4,6,10,530.6,-104,1,0,1,8.2,0,0,0,0,"F"
"205",7e+05,11,-6,-1.2,0,0,0,0.1,2.7,3.8,5,0,1,1,1,100,3.7,878,38.5,60.2,39,-9.7,0.2,0,5,3,3,0,0,0,49,2,2,1,3,3,26,46.4,48,78,35,60,4,12,0,0,0,0,587,0.88,76.3,0,100,5.1,0,0,0,0,0,0,0,0,0,0,0,20,2,3,5,172.6,-18.1,1,1,2,40.4,0,0,0.8,0,"F"
"206",8e+05,48,-22,-2.5,31,0,0,-3.7,39.6,31.6,80,6,10,4,16,94.1,5.2,940,57.8,55.5,51,0.8,8.7,28,189,147,113,7,7,14,143.3,24,41,15,15,21,16,44.4,614,589,455,413,86,82,1,0,0,1,6038,2.08,103.1,10.6,90.7,5.6,1,0,1,787,0.3,12.1,79,13.3,1,1,2,226,45,68,113,3286.4,39.8,25,38,63,669.6,1,0,14.2,2,"F"
"207",750000,73,-11,0.6,27,0,2,-2.1,25.7,32.1,201,7,5,4,12,66.7,5.8,966,49.9,55.2,47.5,-2.2,6.9,30,114,99,79,2,6,8,129.4,123,112,15,12,36,104,42.2,589,649,433,445,82,83,0,0,0,0,283,0.09,12.4,24.9,33.3,-56.4,0,0,0,3111,0.78,18.5,93.8,16.5,3,1,7,220,30,38,68,2853.7,0.5,5,13,18,243.3,35,18,259.2,3,"F"
"208",650000,46,-3,-5.4,22,0,0,-4.9,13.3,19.8,88,3,4,3,7,46.7,8.8,1022,41.8,58.4,41.7,-7.1,2.8,7,51,43,33,1,2,3,59.7,48,46,5,7,16,84,48.8,298,414,233,328,31,50,0,0,0,0,448,0.19,70,14,83.3,-8.1,0,0,0,1274,0.49,10.5,86.9,10.8,-3.2,0,0,19,2,0,2,155.3,6,0,0,0,1.7,0,0,4.4,2,"F"
"209",650000,3,-1,-0.1,0,0,0,0,0.7,0.7,2,0,0,0,0,0,0,929,57.3,55.7,50.7,3.3,0.2,0,7,5,3,1,0,1,0,1,1,0,0,1,0,0,22,21,14,20,3,2,0,0,0,0,0,0.03,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F"
"210",2e+06,71,0,1.6,36,0,3,-5.6,58.7,51.5,280,9,15,7,24,70.6,6.7,997,58.9,58,50.4,0.9,11.8,43,189,146,113,13,6,19,186.3,201,103,24,23,25,2,9.1,903,892,657,651,137,136,0,5,3,5,6713,1.62,91.1,18.4,83.2,-1.3,0,0,0,3108,0.77,7.5,72.7,9.3,-3.3,2,1,232,44,59,103,3392.5,34.4,24,20,44,667.1,2,8,45.3,4,"F"
"211",650000,2,-1,-0.7,2,0,0,-1,0.3,1.1,9,0,0,0,0,0,0,933,27,80.4,25.1,-19.9,0.2,0,5,5,3,0,0,0,0,5,5,0,0,2,10,58.8,10,30,10,20,0,4,0,0,0,0,0,0.08,0,0,0,-66.7,0,0,0,0,0.04,0,0,0,-14.3,0,0,27,2,2,4,320.4,12.6,1,0,1,22.1,3,0,17.6,0,"F"
"212",4100000,80,-5,-4.5,16,0,1,-2.4,61,73.4,175,11,14,7,25,83.3,6.3,995,51,58.9,46.4,-4,11.9,45,166,132,108,13,13,26,193,55,77,20,24,77,455,49.3,826,958,623,676,134,165,6,5,3,11,8314,1.78,82.9,15,84.7,-0.9,1,0,1,10995,2.18,16.6,89.4,15.6,4.6,15,15,215,35,54,89,2595.9,5.4,10,17,27,444.6,58,1,416.9,4,"F"
"213",7e+05,9,-2,-1.5,0,0,0,3,3.8,5.2,14,0,2,2,2,100,4.3,959,51.4,56.2,47.8,-1.6,0.6,1,15,13,10,1,1,2,81,10,7,0,4,4,0,0,81,89,60,67,7,16,0,0,0,0,55,0.15,0,0,0,-72.2,0,0,0,4,0.03,0,0,0,-62.5,0,0,26,4,4,8,225.1,2.6,0,0,0,13.4,0,0,0,0,"F"
"214",7e+05,4,0,0.1,0,0,0,0,0.6,0.7,5,0,0,0,0,0,0,1000,39.1,34.7,53,5.1,0.2,1,6,3,2,0,0,0,0,3,3,0,1,2,0,0,18,16,13,11,2,4,0,0,0,0,0,0.05,0,0,0,-40,0,0,0,0,0,0,0,0,-20,0,0,1,0,0,0,9,20,0,0,0,0,0,0,0,0,"F"
"215",7e+05,38,-1,-4.1,16,0,1,-2.6,20.5,20.6,59,1,8,3,9,60,8.3,1009,49.8,54.2,47.9,1.2,4.8,15,77,66,40,3,4,7,65.8,30,41,7,6,12,149,51.6,343,369,272,286,45,58,0,1,0,1,2106,0.96,95.3,17.8,84.3,-1.8,0,0,0,1297,0.62,2.5,71.8,3.3,-8.5,1,0,147,4,6,10,1514.3,3,3,10,13,175.2,18,5,233,0,"F"
"216",1e+06,60,-6,2,31,0,0,4,29.8,26.9,117,5,9,4,14,75.7,5.6,982,61.5,55.6,52.5,3.3,7.8,27,147,111,88,6,10,16,141.5,60,83,13,15,22,80,39,655,590,464,420,78,76,1,1,1,2,4244,1.21,69.4,13.1,84.2,-5.8,0,0,0,89,0.04,55.6,55.6,50,44.7,0,0,47,6,3,9,458.1,0.8,0,2,2,14.7,0,0,0,2,"F"
"217",650000,46,-5,-2,24,0,0,-4,12.7,26.2,82,0,4,2,4,66.7,4.6,988,45.8,61.8,42.5,-4.2,2.9,10,57,53,37,1,6,7,82.7,25,21,4,5,16,164,52.8,247,333,180,245,34,38,0,0,0,0,1185,0.43,75.8,12.4,86,-2.6,0,0,0,6042,2.16,4.3,109,3.8,-3.7,5,11,35,0,3,3,290.7,1.2,0,0,0,3.7,5,1,57.6,0,"F"
"218",650000,38,-5,0.2,9,0,0,0.3,15.1,15.1,65,1,6,3,7,77.8,4.8,986,47.5,48,49.7,1.7,2.6,8,52,42,30,3,1,4,102.8,37,35,13,6,16,130,43.8,309,312,255,236,31,34,1,1,1,2,1504,0.71,82.8,9.9,89.3,2.7,0,0,0,339,0.16,0,59.2,0,-18.9,0,0,4,0,1,1,29.1,19.2,0,0,0,0.3,0,0,0,0,"F"
"219",650000,4,0,0.1,2,0,0,-1,0.9,1,11,0,0,0,0,0,0,1000,31.6,52,37.8,-5.9,0.6,3,5,5,4,1,0,1,0,9,4,1,1,0,0,0,15,24,12,17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,-4.3,0,0,3,1,1,2,26.6,-15.8,0,0,0,0,0,0,0,0,"F"
"220",650000,21,-4,-5,22,0,0,-5,5.2,9.4,88,0,3,1,3,75,6.2,989,44.8,68,39.7,-10.8,1.3,4,29,24,18,0,4,4,31.3,48,17,2,4,16,0,0,125,188,99,136,13,30,0,0,0,0,11,0.08,20.2,0,100,9.2,0,0,0,10,0.04,0,43.5,0,-14,0,0,3,0,0,0,37.8,-7.9,0,0,0,0,0,0,0.5,0,"F"
"221",4500000,80,14,10.2,50,0,4,-8.9,66.8,45.1,119,19,19,7,38,74.5,9.2,1020,57.1,49.3,53.7,5.3,14.3,56,230,185,138,16,13,29,134.2,24,119,37,30,38,19,46.2,976,842,748,638,168,150,5,5,0,10,9933,2.08,101.4,13.5,88.3,-2,0,0,0,1854,0.44,8.3,61.8,11.9,-4.2,4,2,245,48,58,106,3350.6,46.6,11,18,29,475.3,11,0,129.4,8,"F"
"222",650000,2,-1,-0.6,0,0,0,0,0.4,1.5,6,0,0,0,0,0,0,875,50.1,48.9,50.6,3.2,0.1,0,2,1,0,0,0,0,0,5,1,0,0,1,7,36.8,16,16,10,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,171,1.44,0,103.7,0,0,2,0,53,0,4,4,497.7,-18.7,0,0,0,2.6,7,4,86.3,0,"F"
"223",650000,16,-3,0.7,2,0,0,0,7.4,6.3,26,0,1,1,1,33.3,3.2,948,63.1,50.5,55.6,8.1,1.7,6,28,24,15,1,0,1,56.5,19,22,2,4,5,32,40.5,170,135,131,104,25,18,0,1,0,1,61,0.08,89.3,0,100,0,0,0,0,290,0.32,11.6,58,16.7,4.5,1,0,5,0,1,1,47.4,-21.5,0,0,0,0.3,0,0,3.1,0,"F"
"224",675000,48,-16,-7,22,0,0,-3.3,26.8,28.3,68,4,7,2,11,68.8,6.2,974,52.6,63.4,45.4,-2,6.6,21,110,93,68,4,8,12,59.3,36,28,10,21,8,209,44.7,475,567,365,433,67,77,1,0,0,1,3309,1.19,63.9,19.2,76.9,-11,0,0,0,389,0.16,7.7,115,6.3,-5.1,0,1,170,18,28,46,1939.7,-25,7,8,15,230,6,5,120.3,1,"F"
"225",3150000,81,10,14.8,22,0,1,3.5,73.1,37.8,60,10,22,13,32,82.1,8,1010,59.3,50.1,54.2,6.1,9.6,33,208,158,120,5,14,19,287.8,18,58,23,17,14,147,47.3,862,729,651,530,148,112,8,10,5,18,11793,2.41,100.2,12,89.3,2.8,0,0,0,52,0.04,0,31,0,-9.5,0,0,201,24,47,71,2835.4,-3.2,9,13,22,440.8,0,1,28.4,8,"F"
"226",9e+05,64,-7,-1.6,95,0,0,-12.1,12.3,19.4,223,2,1,1,3,37.5,5.3,965,43.5,54.8,44.3,-2.9,2.5,8,57,39,30,2,5,7,35.8,84,34,2,3,19,12,52.2,295,372,199,251,41,43,0,0,0,0,127,0.05,47.2,23.6,66.7,-17.9,1,0,1,2376,0.6,9.5,80.4,10.5,0.9,0,6,218,14,22,36,1889.6,-25.7,0,0,0,19.4,5,10,63.2,0,"F"
"227",650000,65,-3,1.1,20,0,1,0.6,38,32.9,110,7,10,6,17,79.1,5.6,990,55.4,48.4,53.4,9.2,6.8,20,159,126,89,4,4,8,196.5,68,59,12,17,12,2,15.4,710,619,543,480,79,95,1,1,1,2,6567,1.8,64.3,15.4,80.6,-4.1,0,0,0,69,0.04,31.1,62.1,33.3,30.3,0,0,103,12,16,28,1176.5,25.1,1,2,3,111.8,0,0,4.4,0,"F"
"228",1650000,30,4,-0.1,14,0,0,-1,8.6,14.9,94,1,1,0,2,30.8,7.1,1048,39.7,58.6,40.4,-11.1,1.3,4,31,23,18,0,1,1,0,68,21,2,4,6,112,57.1,169,252,126,196,22,30,0,0,0,0,220,0.16,62.5,12.5,83.3,-6.6,0,0,0,2862,1.59,10,86.6,10.4,-1.5,2,3,210,13,23,36,2253.2,-5.6,0,0,0,20.7,44,5,378.5,0,"F"
"229",650000,4,2,0,0,0,0,0,1,1.1,5,0,1,1,1,50,13.8,1138,58,52.5,52.5,10.7,0.2,0,8,6,6,0,1,1,14,3,0,0,0,2,0,0,28,25,21,16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24.4,0,0,0,0,0.7,0,0,0,0,"F"
"230",650000,6,-2,-1,0,0,0,0,1.8,2.5,6,0,0,0,0,0,0,913,53.3,53.9,49.7,2,0.7,2,15,9,7,0,1,1,0,5,2,4,5,1,0,0,53,53,38,35,4,12,0,0,0,0,5,0.05,0,0,0,-80,0,0,0,201,0.56,53.7,0,100,83.3,0,0,26,1,1,2,191.7,-12.8,0,0,0,3.8,0,0,0.8,0,"F"
"231",650000,6,-3,-0.5,5,0,0,-0.9,2.1,3.1,13,0,0,0,0,0,0,880,48.8,61.2,44.3,-5.3,0.4,1,9,7,6,0,0,0,0,3,5,2,3,4,24,48,50,63,39,38,4,10,0,0,0,0,214,0.63,66,0,100,3.6,0,0,0,77,0.19,0,56,0,-5.9,0,0,56,2,3,5,520.6,-2.7,0,0,0,15.4,11,4,141,0,"F"
"232",825000,58,6,2.6,128,0,1,-16,18.5,20.2,296,2,10,7,12,57.1,8.8,1023,52,55.5,48.4,-2.1,4.9,18,86,64,38,4,5,9,151.8,128,48,19,18,21,66,44.3,460,492,336,331,65,71,0,0,0,0,103,0.05,0,0,0,-84,0,0,0,66,0.04,0,17.3,0,-9.9,0,0,20,1,0,1,146,-41.9,0,0,0,0.4,0,0,0,1,"F"
"233",1e+06,31,0,-2.3,6,0,1,0,9.8,11.3,89,8,3,2,11,84.6,9.9,1010,44.8,53.6,45.5,-3.8,4.4,15,74,62,53,1,4,5,34.4,69,32,7,3,13,6,46.2,224,265,169,189,31,47,0,0,0,0,160,0.12,19.7,0,100,9.8,0,0,0,262,0.16,22.9,68.8,25,11.8,0,0,27,3,0,3,296.3,-16.5,0,0,0,4.2,0,0,1.4,3,"F"
"234",4750000,71,-17,-4.4,53,1,2,5,61.5,58.6,257,15,15,7,30,81.1,7.8,979,55.1,55.1,50,2.5,13.3,51,206,166,124,15,6,21,164.8,135,57,18,21,53,617,57,870,867,646,677,118,160,5,4,3,9,10535,2.39,94.4,10.1,90.4,4.3,0,0,0,5800,1.38,20.7,100.3,17.1,3.6,4,4,166,26,47,73,2295,5.3,9,21,30,454.5,18,13,202.8,10,"F"
"235",650000,24,6,-0.4,8,0,0,-1.6,16.7,11.3,43,0,4,3,4,40,6.7,1037,57.5,48.9,54,4.5,2.3,10,39,30,18,4,1,5,77.1,28,21,6,4,5,1,0,258,218,206,175,46,35,0,1,1,1,1927,1.38,114.1,10.7,91.4,-4.2,0,0,0,1,0.05,0,0,0,-17.6,0,0,34,5,2,7,382.6,-36.4,1,3,4,55,0,0,0.6,1,"F"
"236",875000,7,0,1.9,2,0,0,0.1,5.2,3.3,14,1,1,1,2,66.7,5.9,969,63.2,47.6,57,12.8,1.3,4,23,21,15,1,1,2,28.5,9,7,4,1,3,0,0,85,64,68,47,18,10,0,1,1,1,536,1.3,65.4,6.5,90.9,-4.5,0,0,0,0,0.02,0,0,0,0,0,0,10,1,1,2,110.2,-4.4,0,0,0,4.5,0,0,0,1,"F"
"237",675000,10,-4,-1.7,2,0,0,0,2.5,4.3,17,0,0,0,0,0,6.1,918,48.6,61.7,44.1,-6.3,0.4,2,9,8,8,0,0,0,0,13,14,2,1,2,15,35.7,70,89,48,62,9,13,0,0,0,0,5,0.07,0,0,0,-81.3,0,0,0,297,0.5,11.9,95.5,11.1,-0.9,0,0,18,0,3,3,175.7,-2.4,0,0,0,1.1,0,0,7.8,0,"F"
"238",1e+06,82,2,1.2,44,0,1,-11,34.4,47.7,149,8,13,6,21,87.5,6.4,988,49.4,54,47.8,-3.9,6.8,22,129,96,78,0,8,0,178,58,76,24,26,31,296,56.2,710,775,523,578,92,99,0,0,0,0,1071,0.27,68.1,12.3,84.7,-3.2,3,1,4,9682,1.94,17.2,93.2,15.6,2.1,4,8,235,19,35,54,2549.9,-24.7,0,1,1,16.1,32,12,463.7,1,"F"
"239",2500000,81,-18,-14.8,16,0,4,2.6,67.4,63.5,95,16,24,14,40,100,7.8,995,51.6,60.3,46.1,-0.4,10.2,25,256,191,148,11,17,28,327.1,44,41,23,27,26,7,24.1,933,1083,706,851,125,214,4,11,7,15,13091,2.59,95.7,9.5,91,10,0,0,0,1215,0.29,19.5,70.8,21.6,12.2,2,1,222,37,51,88,3027.6,4.440892e-16,27,26,53,624.8,1,2,41.5,9,"F"
"240",7e+05,24,-3,-2.2,4,0,0,-0.9,7.8,8.7,31,2,1,0,3,60,5.8,987,46.4,52.6,46.9,-3.3,1.5,5,32,25,21,2,1,3,0,23,21,2,6,3,2,66.7,174,198,129,146,21,31,0,0,0,0,305,0.22,125.8,11.4,91.7,4.7,0,0,0,0,0.03,0,0,0,-23.8,0,0,9,0,0,0,107.3,5.6,0,0,0,3.6,0,0,0.9,1,"F"
"241",7e+05,51,2,-2,4,0,0,1.9,18.6,27.2,53,6,4,3,10,52.6,9.3,1024,48.2,53.1,47.6,-3,4.6,15,88,63,43,6,8,14,67.3,20,46,10,11,23,53,49.5,426,469,306,308,49,46,0,0,0,0,145,0.09,44.9,59.9,42.9,-41.1,0,0,0,4596,1.47,5.7,94.1,5.7,-6.5,2,6,198,13,21,34,2260.5,-48.9,0,1,1,61.2,34,1,381.1,1,"F"
"242",775000,54,-2,-6.3,16,0,0,4.8,19.2,35.9,95,4,7,3,11,64.7,6.6,999,47.8,62.9,43.2,-2.9,4.3,11,114,90,72,4,4,8,80,48,57,5,6,23,196,50.1,454,595,345,430,55,71,0,0,0,0,88,0.05,0,0,0,-90,0,1,1,4775,1.5,11.4,121.9,8.6,-1.2,4,6,119,12,18,30,1382.1,-12.1,4,1,5,47.4,14,2,155.3,0,"F"
"243",7e+05,3,1,0.3,0,0,0,0,0.7,0.5,1,0,1,0,1,100,14.3,1143,37.5,54.6,40.7,0.2,0.1,0,4,3,2,0,0,0,0,0,2,1,2,1,0,0,16,23,10,15,3,2,0,0,0,0,88,0.49,40.9,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F"
"244",1750000,23,5,7.2,10,0,1,-1.5,19.8,11.1,25,7,4,2,11,78.6,8.1,991,63.2,49.6,56.1,8.3,5.2,22,61,50,38,4,4,8,43.6,6,44,6,14,7,11,52.4,305,241,227,178,55,42,1,0,0,1,2167,1.59,70.2,21.2,76.8,-14.5,0,0,0,19,0.06,0,0,0,-9.6,0,0,14,0,0,0,112.3,-6.9,0,0,0,9.1,0,0,0.6,3,"F"
"245",1750000,69,-3,-8.1,46,0,1,5.1,46.9,36.7,81,7,14,8,21,80.8,7.7,1011,48.1,52.9,47.6,-0.9,5.2,13,138,106,77,2,12,14,200.2,5,35,22,32,26,47,54.7,651,719,465,545,61,112,8,8,1,16,10540,2.48,102.6,12.5,89.2,1.1,0,0,0,94,0.08,0,0,0,-15.3,0,0,219,36,50,86,2869.6,34.3,5,17,22,398.6,0,0,9.4,4,"F"
"246",650000,4,0,0,0,0,0,0,1.1,1.5,0,0,0,0,0,0,0,1000,55.9,36,60.8,13.4,0.3,1,4,3,3,0,0,0,0,0,2,0,1,0,12,50,32,21,25,19,2,3,0,0,0,0,6,0.07,0,0,0,-80,0,0,0,57,0.24,0,63.2,0,-18.2,0,0,9,0,0,0,68.9,8.7,0,0,0,0.4,0,0,0,0,"F"
"247",8e+05,32,9,2.2,6,0,3,3,14.7,14.5,51,7,5,3,12,66.7,10.5,1052,54.4,52.2,51,4.9,4.6,23,78,60,48,2,7,9,54.5,29,37,0,10,13,1,33.3,328,315,242,240,52,40,1,0,0,1,500,0.27,76.8,14,84.6,-6,0,0,0,1302,0.72,7.7,66.8,10.3,-0.7,1,1,113,9,12,21,1239.3,23.3,0,1,1,18.1,0,0,10.3,1,"F"
"248",725000,29,3,0.5,16,0,0,-2,10.3,9.3,101,2,3,1,5,55.6,7.7,1035,46.8,49.3,48.7,-2.8,2.6,10,43,32,24,0,2,0,25.6,79,59,3,9,5,10,37,228,240,168,182,31,23,0,0,0,0,49,0.11,0,0,0,-85.8,0,0,0,350,0.21,9.9,49.4,16.7,7.8,1,0,19,0,1,1,0,0,0,0,0,0,3,0,0,1,"F"
"249",1400000,46,1,1.3,12,0,0,0.6,26.8,22.9,74,5,15,8,20,93,8.1,1013,54.1,52.2,50.9,1.6,4.3,9,107,76,55,5,10,15,194.4,39,46,4,19,21,7,70,526,504,379,367,62,67,2,2,0,4,3070,1.13,69.5,13.9,83.3,-3.2,0,0,0,43,0.04,0,20.7,0,-13.5,0,0,56,8,10,18,635.8,-3,1,1,2,77.5,0,0,0.2,1,"F"
"250",650000,11,0,0.2,4,0,0,3.3,6.1,4,5,0,3,3,3,100,5.9,1002,46.1,51.4,47.3,0.4,1.7,4,20,20,14,2,0,2,81.5,1,11,6,5,0,1,50,81,91,67,76,16,10,1,0,0,1,1219,1.88,60.5,8.6,87.5,-1.6,0,0,0,0,0.03,0,0,0,-6.1,0,0,94,7,21,28,1097.6,-2,1,0,1,124.3,0,0,0.7,0,"F"
"251",650000,39,1,-0.2,29,0,0,2,13.8,12.9,134,2,2,2,4,66.7,4.2,1001,49.6,52.1,48.8,-1.6,4.8,13,65,47,33,8,7,15,99.3,83,62,4,5,18,111,53.6,298,310,219,227,33,26,0,0,0,0,157,0.12,33.1,13,71.7,-18,0,0,0,773,0.29,17,99.5,14.6,1.3,1,1,5,0,0,0,39.9,-36.8,0,0,0,0,0,0,0.8,0,"F"
"252",887500,57,-11,-4.5,6,0,1,10.9,26.8,30.9,119,7,8,5,15,78.9,6.8,965,56.4,56.4,50,1.4,9.4,37,139,98,71,14,13,27,153.3,85,70,14,23,21,1,33.3,588,592,406,426,84,84,0,0,0,0,232,0.07,32.9,0,100,6.7,0,1,1,2691,0.78,13.5,62.7,17.7,0.2,3,1,21,3,1,4,217.8,-8.5,0,0,0,2,1,1,7.4,4,"F"
"253",650000,37,5,-3,0,0,0,4,13.2,14.7,44,6,7,3,13,96.3,8.5,1035,46.5,61.8,42.9,-5.6,3.1,10,54,48,36,0,5,5,61.9,29,23,5,11,15,19,47.5,279,373,220,268,37,39,0,0,0,0,36,0.03,0,0,0,-76.9,0,0,0,3,0.02,0,0,0,-21.4,0,0,76,8,9,17,777.1,3,0,1,1,32.8,1,0,4,0,"F"
"254",650000,6,1,1.1,0,0,0,0,3,2,3,0,1,1,1,100,3.2,1032,64.4,55.5,53.7,9.7,0.9,4,11,11,8,1,0,1,53.5,3,6,2,0,0,0,0,54,46,42,36,13,6,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,-27.3,0,0,23,0,1,1,203,-68.9,0,0,0,6.7,2,1,15,0,"F"
"255",650000,3,0,0.1,0,0,0,0,0.9,1.6,3,0,0,0,0,0,10.6,1022,36.1,73.3,33,-14.3,0.2,1,2,1,1,0,0,0,0,2,4,2,1,1,11,52.4,14,27,12,17,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,-28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F"
"256",650000,7,-3,-1.1,0,0,0,0,1.2,2.5,14,0,0,0,0,0,0,908,63.1,78.8,44.4,-4,0.5,2,14,9,7,2,0,2,0,13,4,0,2,1,15,62.5,50,63,27,44,3,8,0,0,0,0,5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,-5.9,0,0,20,2,2,4,209,1.1,0,0,0,1,0,0,1.5,0,"F"
"257",650000,14,-6,-2.8,0,0,0,0,3.8,5.1,35,0,0,0,0,0,2.3,895,43.7,54.6,44.4,-5,1,2,22,18,12,0,2,2,0,30,18,3,2,5,9,60,97,122,66,84,14,17,0,0,0,0,19,0.09,0,0,0,-90.5,0,0,0,78,0.1,42.8,0,100,100,0,0,14,1,1,2,142.4,-7.5,0,0,0,0.5,0,0,2,0,"F"
"258",1500000,66,20,5.1,40,0,3,-11.6,32.7,24.4,141,14,8,7,22,66.7,9.5,1047,59,50.3,54,5.7,6.4,18,120,90,74,4,5,9,139.9,86,44,12,14,12,2,22.2,661,563,476,415,86,70,1,0,0,1,1781,0.48,93.6,11,89.5,-0.5,0,0,0,63,0.03,27.3,68.8,28.4,15.6,0,0,137,18,17,35,1512.6,15.5,4,4,8,172.5,0,0,1,4,"F"
"259",1e+06,20,-1,2.8,8,1,1,-2.8,12.4,10.4,22,5,2,1,7,100,4.9,962,62.3,44,58.6,11.3,2.8,10,44,33,24,5,0,5,37.9,10,34,3,9,3,52,41,264,188,199,154,27,23,0,0,0,0,1005,0.92,51.5,6.4,88.9,0.3,1,0,1,1671,1.41,19,78.1,19.6,6.5,2,0,2,0,1,1,14.3,-33.6,0,0,0,0,0,0,0,3,"F"
"260",8e+05,29,-12,0.2,4,0,0,-2.9,12.9,10.2,34,1,0,0,1,50,1.4,917,53.1,52.8,50.2,2.6,4.7,19,61,48,34,7,4,11,0,21,35,7,3,8,0,0,264,262,195,187,41,29,0,0,0,0,542,0.38,85.2,14,85.9,2.6,0,0,0,113,0.08,19.9,19.9,50,38.2,0,0,143,12,22,34,1451.1,26.1,3,2,5,147,0,1,1.6,0,"F"
